cancer	patient	drug	response
lung	NCI.H720	Cisplatin	5.206839
lung	Calu.3	Cisplatin	6.366421
lung	COR.L23	Cisplatin	1.728696
lung	LK.2	Cisplatin	3.790957
lung	NCI.H1437	Cisplatin	3.209855
lung	NCI.H1623	Cisplatin	3.848461
lung	NCI.H1648	Cisplatin	4.244022
lung	NCI.H1650	Cisplatin	2.943912
lung	NCI.H1693	Cisplatin	4.804165
lung	NCI.H1770	Cisplatin	6.801738
lung	NCI.H1838	Cisplatin	5.639381
lung	NCI.H2126	Cisplatin	5.397902
lung	NCI.H2170	Cisplatin	3.1356
lung	NCI.H2228	Cisplatin	2.110074
lung	NCI.H2342	Cisplatin	3.985426
lung	NCI.H2347	Cisplatin	5.386718
lung	NCI.H2405	Cisplatin	3.124426
lung	NCI.H661	Cisplatin	2.047711
lung	DMS.114	Cisplatin	2.972983
lung	DMS.273	Cisplatin	2.272118
lung	NCI.H1048	Cisplatin	2.289497
lung	NCI.H1092	Cisplatin	7.15045
lung	NCI.H1694	Cisplatin	4.413527
lung	NCI.H187	Cisplatin	3.499546
lung	NCI.H1963	Cisplatin	3.879784
lung	NCI.H2029	Cisplatin	6.867624
lung	NCI.H209	Cisplatin	0.621972
lung	NCI.H2141	Cisplatin	4.489856
lung	NCI.H2227	Cisplatin	2.545429
lung	NCI.H345	Cisplatin	5.362611
lung	NCI.H446	Cisplatin	5.035076
lung	NCI.H526	Cisplatin	1.593575
lung	NCI.H69	Cisplatin	5.090951
lung	NCI.H82	Cisplatin	1.451992
lung	NCI.H2052	Cisplatin	5.110637
nervous_system	SK.N.DZ	Cisplatin	2.144139
nervous_system	SK.N.FI	Cisplatin	5.746041
soft_tissue	VA.ES.BJ	Cisplatin	0.897893
